;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,    Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc], [degree],   [pc]
 109, 15:00:0.48,  1:53:28.24, 1335.6,  24.20,   9.74,   4.34,   1.54,   2.69,   1.60,    4.245,    1.271,    1.868,    0.559,    3.4,     0.12,    200.9,    244
 110, 15:00:0.53,  1:53:29.13, 1339.9,   0.00,   0.00,   0.41,   0.82,   -NaN,   -NaN,    0.469,    0.571,    0.206,    0.251,    4.2,     0.00,    236.6,    390
 111, 15:00:0.56,  1:53:32.11, 1333.3,   0.00,   0.00,   3.16,   2.58,   1.75,   3.39,    2.221,    2.173,    0.977,    0.956,    4.2,     0.05,    220.0,    698
 112, 15:00:0.25,  1:53:27.66, 1335.9,   0.00,   0.00,   3.62,   1.31,   3.05,   1.70,    3.624,    1.070,    1.594,    0.471,    3.9,     0.02,    147.0,    471
 113, 15:00:0.60,  1:53:36.52, 1336.6,   0.00,   0.00,   2.60,   1.72,   1.85,   1.49,    1.395,    0.899,    0.614,    0.395,    3.3,     0.02,    285.0,   1191
 114, 15:00:0.20,  1:53:25.31, 1336.3,   0.00,   0.00,   2.19,   1.78,   1.28,   2.58,    2.445,    2.914,    1.076,    1.282,    3.9,     0.07,     80.0,    749
 115, 15:00:0.16,  1:53:25.94, 1338.5,   0.00,   0.00,   3.61,   3.99,   2.77,   4.56,    2.652,    4.250,    1.167,    1.870,    3.7,     0.02,     93.4,    831
 116, 15:00:0.26,  1:53:26.65, 1331.5,  23.43,  18.16,   8.08,   3.46,   6.81,   4.09,   16.203,    5.662,    7.129,    2.491,    4.6,     0.11,    269.5,    512
 117, 15:00:0.27,  1:53:27.82, 1320.3,   0.00,   0.00,   1.99,   2.71,   1.09,   1.79,    0.961,    1.364,    0.423,    0.600,    3.6,     0.01,     38.1,    393
 118, 15:00:0.56,  1:53:30.72, 1337.3,   0.00,   0.00,   0.88,   1.80,   -NaN,    NaN,    6.024,    7.760,    2.650,    3.414,    4.8,     0.04,    127.2,    568
