;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,  d_Omega,    Theta,  d_Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc],[km/s/pc], [degree], [degree],   [pc]
 159, 12:27:26.6,  11:06:28.2, 1219.7,   0.00,   0.00,   3.08,   2.06,   2.38,   2.02,     0.49,     0.37,     0.23,     0.17,    2.7,     0.00,     0.00,       0.,       0.,    183
 160, 12:27:26.6,  11:06:26.7, 1221.5,  16.55,   2.86,   9.03,   1.22,   4.43,   0.90,     4.56,     0.57,     2.12,     0.27,    3.9,     0.62,     0.08,     136.,      10.,    236
 161, 12:27:26.7,  11:06:26.0, 1224.8,   0.00,   0.00,   5.25,   1.11,   4.21,   1.31,     1.93,     0.46,     0.90,     0.21,    3.5,     0.00,     0.00,       0.,       0.,    374
 162, 12:27:26.7,  11:06:28.9, 1224.6,  10.92,   6.86,   3.49,   1.66,   1.60,   1.68,     0.87,     0.43,     0.40,     0.20,    2.6,     0.20,     0.15,     193.,      80.,    362
 163, 12:27:26.7,  11:06:29.1, 1231.6,  23.24,   8.28,   5.12,   1.66,   2.15,   1.62,     1.82,     0.63,     0.85,     0.30,    2.5,     0.08,     0.12,     185.,     103.,    409
 164, 12:27:26.7,  11:06:26.2, 1230.3,   0.00,   0.00,   5.63,   1.23,   3.32,   0.99,     2.22,     0.37,     1.03,     0.17,    3.5,     0.00,     0.00,       0.,       0.,    339
 165, 12:27:26.6,  11:06:27.8, 1226.8,   8.85,   6.04,   7.42,   2.19,   5.97,   2.06,     2.56,     0.58,     1.19,     0.27,    3.7,     0.40,     0.24,     301.,      42.,     83
 166, 12:27:26.6,  11:06:28.1, 1231.9,   0.00,   0.00,   3.71,   1.70,   2.37,   1.28,     0.76,     0.40,     0.35,     0.19,    2.7,     0.00,     0.00,       0.,       0.,    171
 167, 12:27:26.6,  11:06:28.5, 1228.3,  32.54,   2.19,  15.91,   1.33,   4.89,   0.71,    12.65,     0.88,     5.90,     0.41,    4.9,     0.77,     0.05,     238.,       5.,    260
 168, 12:27:26.6,  11:06:26.6, 1235.3,   0.00,   0.00,   4.52,   0.73,   3.67,   1.12,     2.87,     0.59,     1.34,     0.28,    3.6,     0.00,     0.00,       0.,       0.,    259
 169, 12:27:26.7,  11:06:29.0, 1238.1,   0.00,   0.00,   2.49,   1.16,   2.16,   1.45,     0.55,     0.23,     0.26,     0.11,    3.0,     0.00,     0.00,       0.,       0.,    396
 170, 12:27:26.7,  11:06:26.3, 1242.8,  13.22,   5.24,   4.83,   1.25,   2.98,   1.66,     1.46,     0.36,     0.68,     0.17,    3.0,     0.25,     0.13,     134.,      36.,    330
 171, 12:27:26.6,  11:06:28.0, 1242.2,   9.67,   8.17,   3.12,   1.66,   1.86,   1.62,     0.94,     0.43,     0.44,     0.20,    2.7,     0.11,     0.12,     255.,     148.,    160
 172, 12:27:26.6,  11:06:26.6, 1244.2,   0.00,   0.00,   2.89,   1.54,   2.40,   1.66,     0.75,     0.30,     0.35,     0.14,    3.1,     0.00,     0.00,       0.,       0.,    271
